study index1
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAL0001                 214.1        900.00000       18.00   Isotropic-horizontal      1  N44°44'00.25" W122°39'57.59"
ABAM0001                 213.2        960.00000       15.40    Use file-vertical      1  N44°42'28.74" W122°43'10.18"
ABAM0002                 213.2        960.00000       15.40    Use file-vertical      1  N44°42'28.74" W122°43'10.18"
ABAN0002                 466.0        960.00000       14.00    Use file-vertical      1  N44°40'12.64" W122°44'41.23"
ABAO0001                 525.2        960.00000       14.40    Use file-vertical      1  N44°22'57.13" W122°51'03.19"
ABAO0002                 525.2        960.00000       11.40    Use file-vertical      1  N44°22'57.13" W122°51'03.19"
ABAP0001                 447.9        960.00000       14.00    Use file-vertical      1  N44°20'59.64" W122°54'23.90"
ABAF0001                 129.8        960.00000       13.50    Use file-vertical      1  N44°34'23.65" W123°01'12.54"
ABAF0002                 129.8        960.00000       13.00    Use file-vertical      1  N44°34'23.65" W123°01'12.54"
ABAI0001                 145.3        960.00000        8.40    Use file-vertical      1  N44°39'04.46" W123°01'13.02"
ABAE0001                 141.0        960.00000        7.40    Use file-vertical      1  N44°38'53.69" W123°07'54.63"
ABAE0002                 141.0        960.00000        7.40    Use file-vertical      1  N44°38'53.69" W123°07'54.63"
ABAC0001                  99.4        960.00000        7.40    Use file-vertical      1  N44°36'50.84" W123°06'23.10"
ABAC0002                  99.4        960.00000        7.40    Use file-vertical      1  N44°36'50.84" W123°06'23.10"
ABAC0003                  99.4        960.00000       15.40    Use file-vertical      1  N44°36'50.84" W123°06'23.10"
ABAJ0001                 164.0        960.00000       13.00    Use file-vertical      1  N44°43'20.11" W122°59'08.30"
ABAJ0002                 164.0        960.00000        9.00    Use file-vertical      1  N44°43'20.11" W122°59'08.30"
ABAB0001                 400.5        960.00000        7.40    Use file-vertical      1  N44°31'36.11" W122°52'29.92"
ABAB0002                 400.5        960.00000        7.40    Use file-vertical      1  N44°31'36.11" W122°52'29.92"
ABAB0003                 400.5        960.00000       15.40    Use file-vertical      1  N44°31'36.11" W122°52'29.92"
ABAD0001                 462.0        960.00000        7.40    Use file-vertical      1  N44°30'17.60" W122°57'36.91"
ABAD0003                 462.0        960.00000       15.40    Use file-vertical      1  N44°30'17.60" W122°57'36.91"
ABAK0001                 193.1        900.00000        7.00   Isotropic-horizontal      1  N44°23'52.33" W122°43'52.09"
ABAG0001                 272.5        960.00000       15.00    Use file-vertical      1  N44°25'10.47" W122°39'33.59"
ABAH0001                 291.2        960.00000       14.40    Use file-vertical      1  N44°24'59.70" W122°44'26.99"
ABAH0002                 291.2        960.00000       11.40    Use file-vertical      1  N44°24'59.70" W122°44'26.99"
ABAA0002                 432.3        960.00000       19.40    Use file-vertical      1  N44°26'12.58" W122°59'03.58"
