study index5
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAF0001                 139.8        960.00000       12.50    Use file-vertical      1  N44°34'23.65" W123°01'12.54"
ABAF0002                 139.8        960.00000       12.00    Use file-vertical      1  N44°34'23.65" W123°01'12.54"
ABAI0001                 234.0        960.00000        7.40    Use file-vertical      1  N44°39'15.55" W123°01'00.36"
ABAI0002                 234.0        960.00000       17.90    Use file-vertical      1  N44°39'15.55" W123°01'00.36"
ABAE0001                 131.0        960.00000        8.40    Use file-vertical      1  N44°38'53.69" W123°07'54.63"
ABAE0002                 131.0        960.00000        9.40    Use file-vertical      1  N44°38'53.69" W123°07'54.63"
ABAC0001                  99.4        960.00000        7.40    Use file-vertical      1  N44°36'50.84" W123°06'23.10"
ABAC0002                  99.4        960.00000        6.90    Use file-vertical      1  N44°36'50.84" W123°06'23.10"
ABAC0003                  99.4        960.00000       19.40    Use file-vertical      1  N44°36'50.84" W123°06'23.10"
ABAO0001                 525.2        960.00000       14.40    Use file-vertical      1  N44°22'57.13" W122°51'03.19"
ABAO0002                 525.2        960.00000       11.40    Use file-vertical      1  N44°22'57.13" W122°51'03.19"
ABAV0001                 341.1        960.00000       17.00    Use file-vertical      1  N44°28'45.83" W122°45'39.87"
ABAU0001                 631.1        960.00000       11.00    Use file-vertical      1  N44°26'00.94" W122°53'06.78"
ABAU0002                 631.1        960.00000        9.00    Use file-vertical      1  N44°26'00.94" W122°53'06.78"
ABAQ0001                 121.4        960.00000       12.40    Use file-vertical      1  N44°32'00.54" W123°12'04.00"
ABAQ0002                 121.4        960.00000       17.40    Use file-vertical      1  N44°32'00.54" W123°12'04.00"
ABAM0001                 239.9        960.00000       15.00   Isotropic-horizontal      1  N44°42'19.28" W122°41'31.89"
ABAS0001                 120.1        960.00000       18.40    Use file-vertical      1  N44°43'15.88" W123°05'47.50"
ABAS0002                 120.1        960.00000       13.00    Use file-vertical      1  N44°43'15.88" W123°05'47.50"
ABBB0001                 590.4        960.00000       12.00    Use file-vertical      1  N44°26'59.94" W122°36'21.40"
ABBB0002                 590.4        960.00000       18.00    Use file-vertical      1  N44°26'59.94" W122°36'21.40"
ABAZ0001                 407.1        960.00000       18.40    Use file-vertical      1  N44°36'04.62" W122°39'58.65"
ABAT0001                 154.2        960.00000        8.00    Use file-vertical      1  N44°39'49.14" W123°11'22.20"
ABAT0002                 154.2        960.00000        5.50    Use file-vertical      1  N44°39'49.14" W123°11'22.20"
ABAR0001                 400.7        960.00000        5.00   Isotropic-horizontal      1  N44°19'30.47" W123°00'16.11"
ABAJ0001                 164.0        960.00000       15.00    Use file-vertical      1  N44°43'20.11" W122°59'08.30"
ABAJ0002                 154.0        960.00000       17.00    Use file-vertical      1  N44°43'20.11" W122°59'08.30"
ABBG0001                 812.4        960.00000       14.00    Use file-vertical      1  N44°44'15.49" W122°35'32.99"
ABBG0002                 812.4        960.00000       11.40    Use file-vertical      1  N44°44'15.49" W122°35'32.99"
ABAL0001                 214.1        960.00000       15.00   Isotropic-horizontal      1  N44°44'00.25" W122°39'57.59"
ABAY0001                 876.8        960.00000       18.00    Use file-vertical      1  N44°32'04.03" W122°37'18.36"
ABAY0002                 876.8        960.00000       18.00    Use file-vertical      1  N44°32'04.03" W122°37'18.36"
ABAY0003                 866.8        960.00000       15.00    Use file-vertical      1  N44°32'04.03" W122°37'18.36"
ABBF0001                 291.7        960.00000       16.40    Use file-vertical      1  N44°44'48.23" W122°45'51.48"
ABAB0001                 395.5        960.00000        7.90    Use file-vertical      1  N44°31'36.11" W122°52'29.92"
ABAB0002                 395.5        960.00000        7.90    Use file-vertical      1  N44°31'36.11" W122°52'29.92"
ABAB0003                 400.5        960.00000        9.40    Use file-vertical      1  N44°31'36.11" W122°52'29.92"
ABAD0001                 462.0        960.00000        7.40    Use file-vertical      1  N44°30'17.60" W122°57'36.91"
ABAD0003                 462.0        960.00000       13.40    Use file-vertical      1  N44°30'17.60" W122°57'36.91"
ABAD0002                 462.0        960.00000       17.40    Use file-vertical      1  N44°30'17.60" W122°57'36.91"
ABAX0001                 440.0        960.00000       14.00    Use file-vertical      1  N44°33'05.94" W122°42'22.46"
ABBD0002                 130.5        960.00000       17.00    Use file-vertical      1  N44°18'48.15" W123°11'52.11"
ABAP0001                 447.9        960.00000       14.00    Use file-vertical      1  N44°20'59.64" W122°54'23.90"
ABAP0002                 447.9        960.00000       14.00    Use file-vertical      1  N44°20'59.64" W122°54'23.90"
ABAN0002                 471.0        960.00000       11.50    Use file-vertical      1  N44°40'12.64" W122°44'41.23"
